file,name,domain,wei_score,rps_score,total_vulnerabilities,critical_vulns,high_vulns,medium_vulns,low_vulns,vulnerability_types,layer_scores,vulnerabilities
examples/11_payment_processing.yaml,Payment Processing System,general,0.491,31.095,4,0,3,1,0,"['tool_poisoning', 'supply_chain_attack', 'data_leakage', 'prompt_injection']",{},"[{'type': 'data_leakage', 'step': 'step_0', 'agent': 'PaymentGateway', 'severity': 'high', 'description': 'High-sensitivity data processing poses leakage risks'}, {'type': 'prompt_injection', 'step': 'step_2', 'agent': 'FraudAnalyzer', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'tool_poisoning', 'step': 'step_3', 'agent': 'FraudAnalyzer', 'severity': 'high', 'description': 'Tool execution may be vulnerable to poisoning attacks'}, {'type': 'supply_chain_attack', 'step': 'workflow', 'agent': 'system', 'severity': 'medium', 'description': 'Multiple agents and external dependencies increase supply chain attack surface'}]"
examples/12_infrastructure_management.yaml,Critical Infrastructure Management,general,0.425,26.18,5,0,4,1,0,"['supply_chain_attack', 'tool_poisoning', 'privilege_escalation']",{},"[{'type': 'privilege_escalation', 'step': 'step_0', 'agent': 'InfrastructureAgent', 'severity': 'high', 'description': 'Critical operations may lead to privilege escalation'}, {'type': 'tool_poisoning', 'step': 'step_1', 'agent': 'MonitoringAgent', 'severity': 'high', 'description': 'Tool execution may be vulnerable to poisoning attacks'}, {'type': 'privilege_escalation', 'step': 'step_2', 'agent': 'AdminAgent', 'severity': 'high', 'description': 'Critical operations may lead to privilege escalation'}, {'type': 'privilege_escalation', 'step': 'step_3', 'agent': 'WorkflowAgent', 'severity': 'high', 'description': 'Critical operations may lead to privilege escalation'}, {'type': 'supply_chain_attack', 'step': 'workflow', 'agent': 'system', 'severity': 'medium', 'description': 'Multiple agents and external dependencies increase supply chain attack surface'}]"
examples/13_banking_operations.yaml,Core Banking Operations,general,0.414,34.946,8,1,6,1,0,"['privacy_violation', 'tool_poisoning', 'prompt_injection', 'supply_chain_attack', 'data_leakage', 'privilege_escalation', 'model_poisoning']",{},"[{'type': 'data_leakage', 'step': 'step_0', 'agent': 'BankingAgent', 'severity': 'high', 'description': 'High-sensitivity data processing poses leakage risks'}, {'type': 'privilege_escalation', 'step': 'step_0', 'agent': 'BankingAgent', 'severity': 'high', 'description': 'Critical operations may lead to privilege escalation'}, {'type': 'privacy_violation', 'step': 'step_1', 'agent': 'AccountManager', 'severity': 'high', 'description': 'Processing of PII and sensitive data poses privacy risks'}, {'type': 'prompt_injection', 'step': 'step_2', 'agent': 'SecurityAgent', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'prompt_injection', 'step': 'step_3', 'agent': 'SecurityAgent', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'model_poisoning', 'step': 'step_3', 'agent': 'SecurityAgent', 'severity': 'critical', 'description': 'Model processing may be vulnerable to poisoning attacks'}, {'type': 'tool_poisoning', 'step': 'step_4', 'agent': 'ComplianceAgent', 'severity': 'high', 'description': 'Tool execution may be vulnerable to poisoning attacks'}, {'type': 'supply_chain_attack', 'step': 'workflow', 'agent': 'system', 'severity': 'medium', 'description': 'Multiple agents and external dependencies increase supply chain attack surface'}]"
examples/14_document_intelligence.yaml,Government Intelligence Processing,general,0.497,34.946,9,1,7,1,0,"['privacy_violation', 'tool_poisoning', 'prompt_injection', 'supply_chain_attack', 'data_leakage', 'privilege_escalation', 'model_poisoning']",{},"[{'type': 'data_leakage', 'step': 'step_0', 'agent': 'IntelligenceAgent', 'severity': 'high', 'description': 'High-sensitivity data processing poses leakage risks'}, {'type': 'privacy_violation', 'step': 'step_1', 'agent': 'CitizenDataAgent', 'severity': 'high', 'description': 'Processing of PII and sensitive data poses privacy risks'}, {'type': 'prompt_injection', 'step': 'step_2', 'agent': 'AnalyticsAgent', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'tool_poisoning', 'step': 'step_2', 'agent': 'AnalyticsAgent', 'severity': 'high', 'description': 'Tool execution may be vulnerable to poisoning attacks'}, {'type': 'prompt_injection', 'step': 'step_3', 'agent': 'AnalyticsAgent', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'model_poisoning', 'step': 'step_3', 'agent': 'AnalyticsAgent', 'severity': 'critical', 'description': 'Model processing may be vulnerable to poisoning attacks'}, {'type': 'tool_poisoning', 'step': 'step_3', 'agent': 'AnalyticsAgent', 'severity': 'high', 'description': 'Tool execution may be vulnerable to poisoning attacks'}, {'type': 'privilege_escalation', 'step': 'step_4', 'agent': 'SecurityCoordinator', 'severity': 'high', 'description': 'Critical operations may lead to privilege escalation'}, {'type': 'supply_chain_attack', 'step': 'workflow', 'agent': 'system', 'severity': 'medium', 'description': 'Multiple agents and external dependencies increase supply chain attack surface'}]"
examples/15_supply_chain_management.yaml,Supply Chain Management Platform,supply_chain,0.146,10.415,1,0,0,1,0,['supply_chain_attack'],{},"[{'type': 'supply_chain_attack', 'step': 'workflow', 'agent': 'system', 'severity': 'medium', 'description': 'Multiple agents and external dependencies increase supply chain attack surface'}]"
examples/16_autonomous_logistics.yaml,Autonomous Logistics Platform,logistics,0.146,10.415,1,0,0,1,0,['supply_chain_attack'],{},"[{'type': 'supply_chain_attack', 'step': 'workflow', 'agent': 'system', 'severity': 'medium', 'description': 'Multiple agents and external dependencies increase supply chain attack surface'}]"
examples/17_ecommerce_recommendations.yaml,E-commerce Recommendation Engine,e-commerce,0.212,15.137,3,1,1,1,0,"['supply_chain_attack', 'prompt_injection', 'model_poisoning']",{},"[{'type': 'prompt_injection', 'step': 'step_3', 'agent': 'RecommendationModelAgent', 'severity': 'high', 'description': 'Step may be vulnerable to prompt injection attacks'}, {'type': 'model_poisoning', 'step': 'step_3', 'agent': 'RecommendationModelAgent', 'severity': 'critical', 'description': 'Model processing may be vulnerable to poisoning attacks'}, {'type': 'supply_chain_attack', 'step': 'workflow', 'agent': 'system', 'severity': 'medium', 'description': 'Multiple agents and external dependencies increase supply chain attack surface'}]"
examples/18_hr_recruitment.yaml,HR Recruitment Automation,human_resources,0.146,10.415,1,0,0,1,0,['supply_chain_attack'],{},"[{'type': 'supply_chain_attack', 'step': 'workflow', 'agent': 'system', 'severity': 'medium', 'description': 'Multiple agents and external dependencies increase supply chain attack surface'}]"
examples/19_inventory_management.yaml,Smart Inventory Management,supply_chain,0.146,10.415,1,0,0,1,0,['supply_chain_attack'],{},"[{'type': 'supply_chain_attack', 'step': 'workflow', 'agent': 'system', 'severity': 'medium', 'description': 'Multiple agents and external dependencies increase supply chain attack surface'}]"
examples/20_social_media_monitoring.yaml,Social Media Brand Monitoring,marketing,0.146,10.415,1,0,0,1,0,['supply_chain_attack'],{},"[{'type': 'supply_chain_attack', 'step': 'workflow', 'agent': 'system', 'severity': 'medium', 'description': 'Multiple agents and external dependencies increase supply chain attack surface'}]"
